700 193.896 147.981
710 162.18 256.183
720 272.2 226.061
730 196.641 255.12
740 213.506 126.948
750 246.352 272.235
760 248.852 242.805
770 152.189 211.117
780 180.115 223.819
790 66.0977 210.697
800 187.936 268.566
810 252.879 422.084
820 216.873 208.23
830 189.317 208.241
840 87.0077 190.91
850 144.893 220.045
860 238.77 195.398
870 182.546 264.985
880 248.718 165.996
890 157.471 148.214
900 144.685 204.215
910 360.133 156.819
920 135.189 141.375
930 220.541 199.888
940 288.142 232.781
950 305.609 276.128
960 150.86 319.186
970 385.991 207.405
980 119.811 175.894
990 53.4713 132.841
1000 192.615 170.971
1010 303.239 192.506
1020 235.809 136.796
1030 374.093 235.486
1040 131.211 285.031
1050 117.106 180.739
1060 188.741 369.455
1070 101.513 151.103
1080 179.091 173.01
1090 207.994 396.484
1100 270.952 171.086
1110 285.431 141.872
1120 311.46 144.268
1130 121.538 262.864
1140 348.992 204.741
1150 109.635 140.569
1160 143.711 394.44
1170 107.98 242.5
1180 239.627 327.334
1190 161.366 208.051
1200 196.626 187.794
1210 169.24 223.001
1220 99.4552 321.293
1230 112.105 288.293
1240 248.439 293.914
1250 204.202 105.726
1260 86.3356 224.753
1270 103.22 133.987
1280 67.0707 274.4
1290 54.5698 185.495
1300 466.995 206.187
1310 38.4054 147.034
1320 94.5179 127.927
1330 261.535 165.094
1340 256.918 258.156
1350 175.517 200.058
1360 241.003 227.536
1370 251.346 238.737
1380 537.715 175.083
1390 335.451 375.164
1400 131.093 227.032
1410 176.244 162.596
1420 120.862 212.478
1430 108.748 244.697
1440 262.536 257.877
1450 153.505 176.901
1460 231.388 251.707
1470 318.802 338.785
1480 225.451 230.717
1490 182.111 195.37
1500 277.233 347.703
1510 213.907 307.186
1520 83.5198 254.456
1530 182.021 238.333
1540 143.531 168.903
1550 139.47 269.7
1560 420.705 228.041
1570 151.037 219.708
1580 386.748 215.626
1590 260.337 229.965
1600 211.615 201.33
1610 185.465 201.196
1620 245.663 228.545
1630 144.279 214.747
1640 123.823 295.118
1650 297.096 168.038
1660 193.069 258.099
1670 189.511 318.587
1680 138.516 187.082
1690 164.696 224.979
1700 164.759 170.077
1710 158.524 244.951
1720 70.5721 173.828
1730 212.175 175.64
1740 199.826 146.257
1750 193.455 277.447
1760 164.187 382.415
1770 247.833 251.242
1780 170.79 193.998
1790 73.2722 147.544
1800 72.784 262.231
1810 41.7299 221.106
1820 271.333 256.088
1830 80.9179 362.304
1840 165.401 202.377
1850 241.393 391.805
1860 122.247 172.02
1870 326.608 162.734
1880 177.55 113.754
1890 172.903 189.35
1900 339.703 201.047
1910 188.371 225.216
1920 207.143 178.387
1930 56.3899 242.399
1940 135.093 212.282
1950 176.607 181.831
1960 197.008 127.744
1970 177.475 149.5
1980 142.363 253.081
1990 208.786 271.061
2000 184.328 285.433
2010 73.9275 128.766
2020 231.407 237.747
2030 196.793 376.816
2040 214.931 142.89
2050 262.177 137.608
2060 127.12 158.931
2070 177.912 234.479
2080 183.477 164.188
2090 174.287 134.535
2100 86.3402 181.39
2110 40.8648 212.852
2120 144.742 106.558
2130 298.38 234.23
2140 152.446 255.77
2150 128.134 195.594
2160 43.5257 231.169
2170 635.85 192.413
2180 141.418 161.566
2190 355.612 184.148
2200 143.789 193.198
2210 193.799 138.387
2220 40.9514 174.867
2230 112.411 193.552
2240 121.405 370.312
2250 361.29 251.324
2260 233.565 278.444
2270 288.897 192.515
2280 219.902 176.863
2290 54.9274 103.842
2300 276.069 165.481
2310 204.547 204.261
2320 98.6805 130.219
2330 190.18 187.724
2340 154.875 175.476
2350 275.278 224.268
2360 97.5664 202.14
2370 72.5373 89.8985
2380 299.26 151.055
2390 147.228 268.682
2400 148.133 197.048
2410 199.202 226.397
2420 214.724 256.551
2430 397.752 117.773
2440 464.02 182.053
2450 126.35 164.096
2460 68.9 198.863
2470 135.49 272.219
2480 282.433 267.305
2490 401.813 208.658
2500 68.5781 337.584
2510 218.556 289.061
2520 166.29 241.722
2530 154.218 281.519
